timestamp,src_ip,dst_ip,protocol,length,info
2026-08-11T20:54:55.046161,64:ff9b::284f:9678,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP,74,443 -> 55700 [ACK] Len=0
2026-08-11T20:54:55.271027,64:ff9b::284f:9678,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TLS,205,TLS application data (encrypted)
2026-08-11T20:54:55.272173,2409:40f4:200f:afab:f1e4:eebc:763b:aad,64:ff9b::284f:9678,TLS,109,TLS application data (encrypted)
2026-08-11T20:54:55.510836,64:ff9b::284f:9678,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP,74,443 -> 55700 [ACK] Len=0
2026-08-11T20:54:56.943113,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2001:4860:4842:400::,TLS,75,TLS application data (encrypted)
2026-08-11T20:54:57.001204,2001:4860:4842:400::,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP,86,443 -> 38338 [ACK] Len=0
2026-08-11T20:54:58.337688,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2a03:2880:f334:120:face:b00c:0:167,TCP,143,"17160 -> 5222 [ACK, PSH] Len=69"
2026-08-11T20:54:58.380927,2a03:2880:f334:120:face:b00c:0:167,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP,74,5222 -> 17160 [ACK] Len=0
2026-08-11T20:54:58.641566,2a03:2880:f334:120:face:b00c:0:167,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP,145,"5222 -> 17160 [ACK, PSH] Len=71"
2026-08-11T20:54:58.685052,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2a03:2880:f334:120:face:b00c:0:167,TCP,74,17160 -> 5222 [ACK] Len=0
2026-08-11T20:54:59.297957,10.242.170.37,10.242.170.185,ARP,42,Who has 10.242.170.185? Tell 10.242.170.37
2026-08-11T20:54:59.298715,10.242.170.37,10.242.170.185,ICMP,74,Echo (ping) request
2026-08-11T20:54:59.307723,10.242.170.185,10.242.170.37,ARP,42,10.242.170.185 is at 10:68:38:c3:e3:63
2026-08-11T20:55:00.282189,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2001:4860:482c:7700::,TCP-DATA,91,61524 -> 443 Len=37
2026-08-11T20:55:00.341927,2001:4860:482c:7700::,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP-DATA,88,443 -> 61524 Len=34
2026-08-11T20:55:00.684247,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2001:4860:4847:400::,TLS,75,TLS application data (encrypted)
